x,y
2,271,592
14,081,844
6,401,204
10,231,388
17,561,932
291,946
420,112
531,355
1,883,149
866,84
1,790,190
732,368
11,461,285
203,71
81,936
1,398,354
826,493
2,615
3,941,634
1,200,977
15,411,535
15,851,634
197,995
2,951,691
2,441,061
15,501,541
1,388,240
738,106
7,771,630
7,361,278
1,777,788
